transaction_id,sender_id,receiver_id,amount,timestamp
T001,ACC_A,ACC_B,5000,2025-01-01 10:00:00
T002,ACC_B,ACC_C,4800,2025-01-01 11:00:00
T003,ACC_C,ACC_A,4600,2025-01-01 12:00:00
T004,ACC_D,ACC_E,1000,2025-01-02 08:00:00
T005,ACC_F,ACC_E,1100,2025-01-02 08:30:00
T006,ACC_G,ACC_E,1200,2025-01-02 09:00:00
T007,ACC_H,ACC_E,1300,2025-01-02 09:30:00
T008,ACC_I,ACC_E,1400,2025-01-02 10:00:00
T009,ACC_J,ACC_E,1500,2025-01-02 10:30:00
T010,ACC_K,ACC_E,1600,2025-01-02 11:00:00
T011,ACC_L,ACC_E,1700,2025-01-02 11:30:00
T012,ACC_M,ACC_E,1800,2025-01-02 12:00:00
T013,ACC_N,ACC_E,1900,2025-01-02 12:30:00
T014,ACC_E,ACC_O,18000,2025-01-02 20:00:00
T015,ACC_P,ACC_Q,500,2025-01-03 06:00:00
T016,ACC_Q,ACC_R,480,2025-01-03 07:00:00
T017,ACC_R,ACC_S,460,2025-01-03 08:00:00
T018,ACC_S,ACC_T,440,2025-01-03 09:00:00
T019,ACC_X,ACC_Y,3000,2025-01-04 10:00:00
T020,ACC_Y,ACC_Z,2900,2025-01-04 11:00:00
T021,ACC_Z,ACC_X,2800,2025-01-04 12:00:00
T022,ACC_X,ACC_Y,2700,2025-01-04 13:00:00
T023,ACC_Y,ACC_Z,2600,2025-01-04 14:00:00
T024,ACC1,ACC2,100,2025-01-05 08:00:00
T025,ACC_U,ACC2,200,2025-01-05 08:10:00
T026,ACC_V,ACC2,300,2025-01-05 08:20:00
T027,ACC_W,ACC2,400,2025-01-05 08:30:00
T028,ACC_AA,ACC2,500,2025-01-05 08:40:00
T029,ACC_BB,ACC2,600,2025-01-05 08:50:00
T030,ACC_CC,ACC2,700,2025-01-05 09:00:00
T031,ACC_DD,ACC2,800,2025-01-05 09:10:00
T032,ACC_EE,ACC2,900,2025-01-05 09:20:00
T033,ACC_FF,ACC2,1000,2025-01-05 09:30:00
T034,ACC_GG,ACC2,1100,2025-01-05 09:40:00
T035,ACC2,ACC_HH,9000,2025-01-05 20:00:00
T036,ACC_II,ACC_JJ,250,2025-01-06 10:00:00
T037,ACC_JJ,ACC_KK,240,2025-01-06 11:00:00
T038,ACC_KK,ACC_LL,230,2025-01-06 12:00:00
T039,ACC_LL,ACC_MM,220,2025-01-06 13:00:00
T040,ACC_NN,ACC_OO,10000,2025-01-07 09:00:00
T041,ACC_PP,ACC_OO,10100,2025-01-07 09:30:00
T042,ACC_OO,ACC_QQ,50000,2025-01-07 18:00:00
T043,ACC_A,ACC_D,2000,2025-01-08 10:00:00
T044,ACC_D,ACC_B,1900,2025-01-08 11:00:00
T045,ACC_B,ACC_A,1800,2025-01-08 12:00:00
T046,MERCHANT_X,ACC_RR,5000,2025-01-09 10:00:00
T047,ACC_SS,MERCHANT_X,150,2025-01-09 10:01:00
T048,ACC_TT,MERCHANT_X,200,2025-01-09 10:02:00
T049,ACC_UU,MERCHANT_X,175,2025-01-09 10:03:00
T050,ACC_VV,MERCHANT_X,225,2025-01-09 10:04:00
